cluster_id,cluster_size,suggested_focus,top_terms,sample_title_1,sample_title_2,sample_title_3,sample_image_1,sample_image_2,sample_image_3
0,69,material,"concrete, materials, material, structures, natural, structure, wood, structural, carbon, exposed, raw, aesthetic",Lex Pott creates transforming lamp for IKEA's latest PS collection,Delavegacanolasso finishes home in Madrid with tactile material palette,"Anastasiia Tempynska transforms former embassy into ""gallery-like"" Kyiv showroom",C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_001_ikea-ps-2026-lamp-lex-pott_dezeen_2364_hero_1.jpg,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_010_rosa-maria-house-delavegacanolassorosa-maria-house-delavegacanolasso-madrid-spain-architecture_dezeen_2364_sq.jpg,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_011_anastasiia-tempynska-gunia-project-showroom-hero-2.jpg
1,22,mixed,"play, children, cities, housing, urban, density, hong kong, hong, kong, playgrounds, area, campus","""Quietly magical"" Toronto cafe provides family-friendly third place","""In the rush to draw a line under the age of the starchitect, we're at risk of losing more than we think""",Beyond Imported Icons: Tao Ho and a Local Modernism for Hong Kong,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_013_the-willow_denizens_dezeen_hero1.jpg,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_015_guggenheim-museum-bilbao-frank-gehry-sq_dezeen_1704_col_0.jpg,C:\Users\LZT\Downloads\brutalism_dataset_200\images\A_033_beyond-imported-icons-reading-hong-kong-through-tao-ho_18.jpg
2,21,structure,"pavilion, galleries, mpavilion, structure, museum, opening, art, clad, melbourne, mushroom, panels, foundation","IKEA launches inflatable chair ""trapped within a metal frame""",STARTT opens up concealed ruins behind Pantheon in Rome,Art installations bring colour to Zumthor's austere LACMA addition,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_002_ikea-inflatable-chair-milan-design-week-ps-collection_dezeen_2364_hero_2.jpg,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_005_beyond-the-pantheon-startt-architecture-rome-renovations-cultural-rome-italy_dezeen_2364_sq.jpg,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_006_lacma-zumthor-art-installations-_dezeen_2364_sq23_0.jpg
3,24,space,"biennale, skopje, exhibition, pavilion, venice, museum, church, international, heart, street, venice biennale, courtyard",Gensler set to design Trump Tower Tbilisi as country's tallest building,Ten examples of oddly satisfying architecture,Maarten Baas creates clock made of people for Schiphol Airport,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_009_trump-tower-tbilisi-gensler-georgia-tallest-building_dezeen_2364_col_1.jpg,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_017_sq-shanghai-grand-opera-house-spiral-staircase-roof-snohetta_dezeen_2364_col_1.jpg,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_021_The-Peoples-Clock-marten-baas-schiphol_dezeen_2364_col_sq.jpg
4,37,material,"brutalist, hall, brutalism, structures, demolition, year, centre, barbican, heritage, concrete, movement, old",Neil Dusheiko Architects extends Cambridgeshire home to frame neighbouring church,Gender pay gap more than doubles at Zaha Hadid Architects,BIG reveals Nashville performing arts centre wrapped in aluminium pipes,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_003_neil-dusheiko-architects-church-house-extension-uk-sq2_dezeen_2364_col_0.jpg,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_004_gender-pay-gap-uk-architecture-studios_dezeen_2364_col_0.jpg,C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_008_big-tpac-nashville-metal-curtain_dezeen_2364_sq.jpg
